Title,Note,URL,Tags,Comment
OAT Nails Spa and Massage Hoi An - 귀리 스파 마사지 & 네일 호이안,,https://www.google.com/maps/place/OAT+Nails+Spa+and+Massage+Hoi+An+-+%EA%B7%80%EB%A6%AC+%EC%8A%A4%ED%8C%8C+%EB%A7%88%EC%82%AC%EC%A7%80+%26+%EB%84%A4%EC%9D%BC+%ED%98%B8%EC%9D%B4%EC%95%88/data=!4m2!3m1!1s0x31420f6bed1b291b:0xf9a8457e773461f,,
Soulcraft Jewelry,,https://www.google.com/maps/place/Soulcraft+Jewelry/data=!4m2!3m1!1s0x31421770af21c80d:0x601d2cd74e61c2da,,
L'epicerie Cheese & Wine shop,,https://www.google.com/maps/place/L'epicerie+Cheese+%26+Wine+shop/data=!4m2!3m1!1s0x314217ccb2f398d1:0x4a7dcdc4b0179ce5,,
Đ. Lê Duẩn,Clothes shopping street,https://www.google.com/maps/place/%C4%90.+L%C3%AA+Du%E1%BA%A9n/data=!4m2!3m1!1s0x3142183418af652f:0xc23e49bb053c6d34,,
Hợp Handi Đà Nẵng - Notebook & Handmade Gifts,,https://www.google.com/maps/place/H%E1%BB%A3p+Handi+%C4%90%C3%A0+N%E1%BA%B5ng+-+Notebook+%26+Handmade+Gifts/data=!4m2!3m1!1s0x314219d2a6764e37:0x9abf49c63a545c43,,
Cafe Cửa Ngõ,,https://www.google.com/maps/place/Cafe+C%E1%BB%ADa+Ng%C3%B5/data=!4m2!3m1!1s0x3142178fa1a85d1f:0x18359fb25ea3f7ea,,
Lighthouse (Coffee roaster-Dining),,https://www.google.com/maps/place/Lighthouse+(Coffee+roaster-Dining)/data=!4m2!3m1!1s0x3142174e4388ea31:0x3dc684f261a6c637,,
Golden Meat House,,https://www.google.com/maps/place/Golden+Meat+House/data=!4m2!3m1!1s0x314217b74d212a13:0x8cde27e7191bf9a6,,
Gốm An Nhiên,,https://www.google.com/maps/place/G%E1%BB%91m+An+Nhi%C3%AAn/data=!4m2!3m1!1s0x3142190c66a25549:0x232e9d0c9da64781,,
Outstanda Handcraft - Local Handmade Souvenirs,,https://www.google.com/maps/place/Outstanda+Handcraft+-+Local+Handmade+Souvenirs/data=!4m2!3m1!1s0x314217996ec4f1c1:0xbc24f075555bbec3,,
YMa,,https://www.google.com/maps/place/YMa/data=!4m2!3m1!1s0x3142175d8009417b:0xde86f0c05fe16baa,,
Dot Grid Book,,https://www.google.com/maps/place/Dot+Grid+Book/data=!4m2!3m1!1s0x3135ab81f219a4d5:0x1f37baf26a1f058d,,
AKP Bookstore,,https://www.google.com/maps/place/AKP+Bookstore/data=!4m2!3m1!1s0x314219cc4878a941:0x36886230260853d,,
KINTER COFFEE,,https://www.google.com/maps/place/KINTER+COFFEE/data=!4m2!3m1!1s0x314219ce0b0f0ead:0x3f0ace5e10096315,,
Little Lamb - Books & Gifts,,https://www.google.com/maps/place/Little+Lamb+-+Books+%26+Gifts/data=!4m2!3m1!1s0x314219b3466f58fd:0x12759fa213f3acb,,
Cafe Mọt,,https://www.google.com/maps/place/Cafe+M%E1%BB%8Dt/data=!4m2!3m1!1s0x314219ea3bdcee25:0x82903d2dbb7a2988,,
The Craftsman Cocktail Bar,,https://www.google.com/maps/place/The+Craftsman+Cocktail+Bar/data=!4m2!3m1!1s0x3142171dffdf1793:0x9eb7c5c037c22f08,,
Black Wolf Bespoke Cocktail Bar,,https://www.google.com/maps/place/Black+Wolf+Bespoke+Cocktail+Bar/data=!4m2!3m1!1s0x314217c2cb36ed9f:0xbbcd18412319edfd,,
The 1920's Lounge,,https://www.google.com/maps/place/The+1920's+Lounge/data=!4m2!3m1!1s0x314218330e7e98a7:0x4a6f6e793a47c04c,,
Bar Đồ Yêu - Authentic Vietnamese Cocktail,,https://www.google.com/maps/place/Bar+%C4%90%E1%BB%93+Y%C3%AAu+-+Authentic+Vietnamese+Cocktail/data=!4m2!3m1!1s0x31421901d2e25265:0xada0ea668734ab97,,
Hasaki Beauty & Clinic,,https://www.google.com/maps/place/Hasaki+Beauty+%26+Clinic/data=!4m2!3m1!1s0x31420f0cb05e1441:0xc0aee416de8410e8,,
Torino Bakery,,https://www.google.com/maps/place/Torino+Bakery/data=!4m2!3m1!1s0x3142177bf63ad1f3:0xbda11aae4316b860,,
Nang Ngot Patisserie,,https://www.google.com/maps/place/Nang+Ngot+Patisserie/data=!4m2!3m1!1s0x314219f67ac66ca9:0x6456ab0f55f5e9df,,
Đèn Biển Cù Lao Chàm,,https://www.google.com/maps/place/%C4%90%C3%A8n+Bi%E1%BB%83n+C%C3%B9+Lao+Ch%C3%A0m/data=!4m2!3m1!1s0x31426f16a67c91bb:0x5c7982ca33b10d3f,,
HANOK BBQ- KOREAN GRILL HOUSE,,https://www.google.com/maps/place/HANOK+BBQ-+KOREAN+GRILL+HOUSE/data=!4m2!3m1!1s0x31420fb6d20a3fe1:0x369051cafbd375ca,,
"Việt Phục Hội An - Viet Phuc, Ao dai Rental, Sale & Photoshoot",,"https://www.google.com/maps/place/Vi%E1%BB%87t+Ph%E1%BB%A5c+H%E1%BB%99i+An+-+Viet+Phuc,+Ao+dai+Rental,+Sale+%26+Photoshoot/data=!4m2!3m1!1s0x31420f220e003419:0xde9bb22ae8d98a7",,
Cửa Hàng Phú Ông Hội An,Coffee place ,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Ph%C3%BA+%C3%94ng+H%E1%BB%99i+An/data=!4m2!3m1!1s0x31420f0003dbc255:0x2ac0dd9286aa9529,,
The Espresso Station,,https://www.google.com/maps/place/The+Espresso+Station/data=!4m2!3m1!1s0x31420e7935f9201d:0x3a28f08a80f92a01,,
FAIFO FACTORY (by Faifo Coffee),,https://www.google.com/maps/place/FAIFO+FACTORY+(by+Faifo+Coffee)/data=!4m2!3m1!1s0x31420d1b67bae5df:0xf7a2ad9837f95b60,,
Quán chay Diệu Hoa,,https://www.google.com/maps/place/Qu%C3%A1n+chay+Di%E1%BB%87u+Hoa/data=!4m2!3m1!1s0x31420d6a9eb7f301:0x750512e266ca226a,,
Lê Hội Bánh MÌ Chay (Le Hoi Vegan Banh Mi),,https://www.google.com/maps/place/L%C3%AA+H%E1%BB%99i+B%C3%A1nh+M%C3%8C+Chay+(Le+Hoi+Vegan+Banh+Mi)/data=!4m2!3m1!1s0x31420e7f389dfd25:0x9fed9119bc259f85,,
Alluvia Chocolate 736 Hai Ba Trung,,https://www.google.com/maps/place/Alluvia+Chocolate+736+Hai+Ba+Trung/data=!4m2!3m1!1s0x31420f63124e729b:0xcf2b822e0ec63fd9,,
Shoes shop dong chau,,https://www.google.com/maps/place/Shoes+shop+dong+chau/data=!4m2!3m1!1s0x31420fc09a6eb33d:0xf42b2515b1130868,,
