Title,Note,URL,Tags,Comment
OLV Nguyễn Trãi,Really cute styles - limited western size,https://www.google.com/maps/place/OLV+Nguy%E1%BB%85n+Tr%C3%A3i/data=!4m2!3m1!1s0x31752f1557ba01d1:0xd83a87a65c81ce3e,,
The New Playground,Highly recommend if you’re into boutique shopping and coffee - good look into Viet fashions. I enjoy the vintage stores and Libe. Coconut coffee from Cong Cafe slaps,https://www.google.com/maps/place/The+New+Playground/data=!4m2!3m1!1s0x31752f480a0fb8c1:0xcadd1acca8a7c0af,,
Watsons Sense City Cần Thơ (Click & Collect),Small but has great skin care selection - a lot of different brands,https://www.google.com/maps/place/Watsons+Sense+City+C%E1%BA%A7n+Th%C6%A1+(Click+%26+Collect)/data=!4m2!3m1!1s0x31a06321139f598f:0x7fdf0d2e082ce690,,
THE MAY COFFEE&TEA,Nice rooftop coffee - we enjoyed the salt coffee,https://www.google.com/maps/place/THE+MAY+COFFEE%26TEA/data=!4m2!3m1!1s0x310a7f0009ddf8fd:0x18f143594ff46e6,,
Hasaki Beauty & Clinic,Great place for skin care,https://www.google.com/maps/place/Hasaki+Beauty+%26+Clinic/data=!4m2!3m1!1s0x31a089ea82c6f525:0xdd696bb97a07dcd,,
LA RÊVEUSE Café,Good egg coffee - good vibes in general,https://www.google.com/maps/place/LA+R%C3%8AVEUSE+Caf%C3%A9/data=!4m2!3m1!1s0x310a7f4a96464cf1:0x5738dbc048558186,,
Sa Dec Ornamental Flower Tourist Area,"Sa Dec Flower Village - really popular and eye catching during spring especially before Lunar New Years. Sa Dec historically been known for supplying the country or most of the south with flowers for holidays and big occasions 
If you’re a plant enthusiast, you can see some rare houseplants grown at a lot more affordable prices here

Good photo ops",https://www.google.com/maps/place/Sa+Dec+Ornamental+Flower+Tourist+Area/data=!4m2!3m1!1s0x310a7c4db47f512b:0x37c4323c3cb46442,,
Triumph Cần Thơ 1,Nice bras,https://www.google.com/maps/place/Triumph+C%E1%BA%A7n+Th%C6%A1+1/data=!4m2!3m1!1s0x31a0631a47d76a03:0x4ff2a583492fa26b,,
Hasaki Beauty & Clinic,,https://www.google.com/maps/place/Hasaki+Beauty+%26+Clinic/data=!4m2!3m1!1s0x31a08944f17307fd:0xf0f1ed5a5af037a0,,
Mr P Bingsu & Tea,,https://www.google.com/maps/place/Mr+P+Bingsu+%26+Tea/data=!4m2!3m1!1s0x31a089bdafeb4655:0x1fcbadf6ef34b585,,
Shop vải Thuận An,,https://www.google.com/maps/place/Shop+v%E1%BA%A3i+Thu%E1%BA%ADn+An/data=!4m2!3m1!1s0x31a08900268ced93:0x3781e750c004d185,,
MUN PET SHOP CẦN THƠ,,https://www.google.com/maps/place/MUN+PET+SHOP+C%E1%BA%A6N+TH%C6%A0/data=!4m2!3m1!1s0x31a08915e5b8a611:0x3b543c2ab268239,,
Pet Zone - Siêu Thị Thú Cưng,,https://www.google.com/maps/place/Pet+Zone+-+Si%C3%AAu+Th%E1%BB%8B+Th%C3%BA+C%C6%B0ng/data=!4m2!3m1!1s0x31a0632e9d8b4fc3:0x914a29570a61f203,,
SIXDO Store (Cần Thơ 1),,https://www.google.com/maps/place/SIXDO+Store+(C%E1%BA%A7n+Th%C6%A1+1)/data=!4m2!3m1!1s0x31a0631b65754881:0x91d3ae7f6a2acdd4,,
Cá lóc quay Hiệp Thành,,https://www.google.com/maps/place/C%C3%A1+l%C3%B3c+quay+Hi%E1%BB%87p+Th%C3%A0nh/data=!4m2!3m1!1s0x31a089fc535ec203:0x9a4bda9b1c08b7f,,
Dottie Go Cần Thơ,,https://www.google.com/maps/place/Dottie+Go+C%E1%BA%A7n+Th%C6%A1/data=!4m2!3m1!1s0x31a063003c15e221:0xfa677486150da3e6,,
Bò lá lốt Yến Nhi,,https://www.google.com/maps/place/B%C3%B2+l%C3%A1+l%E1%BB%91t+Y%E1%BA%BFn+Nhi/data=!4m2!3m1!1s0x31a063176b5481ed:0x99ab3de34f922d04,,
TERRARIUM CẦN THƠ - THUẬN PHÁT G GARDEN,,https://www.google.com/maps/place/TERRARIUM+C%E1%BA%A6N+TH%C6%A0+-+THU%E1%BA%ACN+PH%C3%81T+G+GARDEN/data=!4m2!3m1!1s0x31a08975c3500fb1:0x5973f7b1cb453ad,,
Sách Cũ Tây Đô - Cần Thơ,,https://www.google.com/maps/place/S%C3%A1ch+C%C5%A9+T%C3%A2y+%C4%90%C3%B4+-+C%E1%BA%A7n+Th%C6%A1/data=!4m2!3m1!1s0x31a089a511e9f081:0x4d8cb38ebcbe75a4,,
ngâm CAFE,Vintage book cafe,https://www.google.com/maps/place/ng%C3%A2m+CAFE/data=!4m2!3m1!1s0x31752f00525a63b5:0x1e9b925864832cf5,,
Linh Nga Bridal,,https://www.google.com/maps/place/Linh+Nga+Bridal/data=!4m2!3m1!1s0x31752f25ff0b3bd3:0x793c5b4a0279b790,,
STHM Stationery - Sổ tay & Văn Phòng Phẩm | Flagship Store Quận 10,,https://www.google.com/maps/place/STHM+Stationery+-+S%E1%BB%95+tay+%26+V%C4%83n+Ph%C3%B2ng+Ph%E1%BA%A9m+%7C+Flagship+Store+Qu%E1%BA%ADn+10/data=!4m2!3m1!1s0x317529ce77581ddd:0xac1778e90aca69f9,,
CAY DAU TO STATIONERY & LOCAL SOUVENIRS STORE,,https://www.google.com/maps/place/CAY+DAU+TO+STATIONERY+%26+LOCAL+SOUVENIRS+STORE/data=!4m2!3m1!1s0x31752f6d2a2c0ff1:0x81cca3dd6410f67a,,
Lụa Thái Tuấn silk,,https://www.google.com/maps/place/L%E1%BB%A5a+Th%C3%A1i+Tu%E1%BA%A5n+silk/data=!4m2!3m1!1s0x31752f20b404efad:0xc34f10e8c0a43658,,
Cửa Hàng Thái Tuấn,,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Th%C3%A1i+Tu%E1%BA%A5n/data=!4m2!3m1!1s0x31752fff24720537:0xeb7d0e7338ede1ce,,
